question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"Name an african american person
",Gertrude Baines,Jim McKinley,Jim McKinley,John C. Smith Jr.,Jim McKinney,A.J. Smith,Joey Slaughter,John A. Smith Jr.,A. J. Smith,Joey Slattery,Jim McKinney,John D. Smith Jr.,Joey Slaughter,Jim McLean,Joey Slattery,Joey Snider,Joey Slaughter,Jim McLean,A.J. Smith,John C. Smith Jr.,Norma E. Smith,Norma A. Smith,Joey Slattery,Cathy McLean,John C. Smith,Norma Johnson,John F. McLean,John D. Smith Jr.,John A. Smith,John C. Brown Jr.,Norma E. Brown,Norma A. Brown,John D. Smith,Norma Adler,John D. Williams,Michael J. McLean,John C. Smith Jr.,John C. Smith,John S. Smith,John D. Smith,John D. Davis,Richard J. McLean,Richard Payne,John D. Davis Jr.,John W. Jones Jr.,James H. Brown Jr.,John W. Smith Jr.,John C. Smith,Michael J. McLean,James H. Jones Jr.,John F. Smith,False
"what country is ella enchanted from
",United Kingdom,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,Canada,Japan,Spain,United Kingdom,Italy,Canada,Japan,Spain,United States of America,Australia,United Kingdom,Italy,Canada,Japan,Spain,False
"What country is oceane from?
",France,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Australia,United Kingdom,Australia,United Kingdom,Australia,United Kingdom,Australia,Australia,United Kingdom,Japan,Canada,Australia,Japan,United Kingdom,Canada,Australia,Japan,Germany,Canada,United Kingdom,Australia,Japan,Germany,Canada,Australia,United Kingdom,Japan,Germany,Canada,Italy,Australia,Japan,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"what language is waking up in reno in?
",English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Italian,Italian,Italian,Italian,Spanish,Italian,Spanish,Italian,German,Spanish,Italian,German,Spanish,Italian,German,Spanish,French,Italian,German,Japanese,Spanish,French,Italian,German,Japanese,False
"who is the hale telescope named after?
",George Ellery Hale,David Hale,Hale,George Hale,Hale,John Hale,Hale,David Hale,George Hale,Hale,Harry Hale,Hale,John Hale,Hale,David Hale,Hale,George Hale,Hale,Hale telescope,Harry Hale,Hale,Hale telescope,John Hale,David Hale,Hale,Hale telescope,George Hale,Hale,Hale telescope,Henry Hale,Hale,Harry Hale,Hale telescope,Hale,John Hale,Hale telescope,Hale,David Hale,George Hale,Hale telescope,Hale,Henry Hale,Hale telescope,Hale,Harry Hale,William Hale,Hale,Hale telescope,Hale,John Hale,David Hale,False
"what gameplay mode does secret of mana have
",multiplayer video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,False
"What is the country of origin of the film besa e kuqe?
",Albania,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,India.,India.,India.,India.,"India,","India,","India,","India,","India,",False
"what albums have been released by humble pie?
",As Safe as Yesterday Is,The Best of the Best,The Best of the Best,The Greatest Hits,The Best of the Best,Strictly Humble Pie,Strictly Hungry,The Best of the Best,Strictly Humble Pie,The Greatest Hits,Strictly Hungry,The Best of the Best,Strictly Humble Pie,Rhythm & Blues,Strictly Hip,Strictly Hungry,The Best of the Best,Strictly Hip,The Best of Them,Live at the Apollo,Strictly Hip,The Best of Them,The Rhythm of My Life,Live at the Apollo,Rhythm and Blues,Singing in the Rain,The Rhythm of the World,Live at the Apollo,The Best of Them,A Little Night Music,Rhythm and Blues,Live at the Apollo,A Little Night Music,Live in Concert,The Best of Them,Live at the Apollo,Live in Concert,A Little Night Music,A Little More of the Same,Live at the Apollo,A Little More of a Little,Live in Concert,Singing in the Dark,Live in Concert,Shockingly Beautiful,In the Dark,A Little More of the Same,The Last Song,In the Darkness of the Night,In the Dark,Sing!,False
"what is bambi jones's gender?
",female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,male,female,male,female,male,female,male,female,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"what country gives michael vescera his nationality
",United States of America,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,United Kingdom,Italy,United Kingdom,Italy,Italy,United Kingdom,Italy,United Kingdom,Italy,United Kingdom,Italy,Italy,United Kingdom,Italy,United Kingdom,Italy,United Kingdom,Italy,Spain,Italy,United Kingdom,Spain,Italy,Germany,United Kingdom,Spain,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"who is dizengoff street named after
",Meir Dizengoff,David Zengoff,Vladimir Dizengoff,Sergei Diaghilev,David Zengoff,Dziga Vertov,Vladimir Dizengoff,Sergei Diaghilev,David Zengoff,Vladimir Dizengoff,Dziga Vertov,Sergei Diaghilev,Sergei Diazgoff,David Zengoff,Vladimir Dizengoff,Sergei Diaghilev,Vladimir D. Zengoff,David Zengoff,Sergei Diazgoff,George Dizengoff,David Zangoff,Vladimir Dizengoff,David Zengoff,Sergei Diazgoff,David Zengoff,Vladimir D. Zengoff,David Zangoff,Vladimir Dizengoff,Joseph Dizengoff,David Zengoff,George Dizengoff,David Zangoff,Vladimir Dizengoff of Russia,David Zengoff,Vladimir Dizengoff,Vladimir Dizengoff of Russia,David Zengoff,Sergei Diaghilevsky,David Zangoff,David Zengoff of Russia,Vladimir Dizengoff,Vladimir Dizengoff of Russia,Sergei Diaghilevsky,David Zangoff,David Zengoff,Sergei Diazgof,David Zengoff of Russia,Joseph Zingün,David Zengoff,David Zangoff,David Zengoff of Russia,False
"where was don healy born
",Rome,New York City,New York City,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,Los Angeles,Los Angeles,San Francisco,Los Angeles,San Francisco,Fort Lauderdale,Los Angeles,Fort Worth,San Francisco,San Diego,Fort Lauderdale,Los Angeles,Fort Worth,San Francisco,San Diego,Fort Lauderdale,Los Angeles,San Francisco,San Diego,San Francisco,San Diego,Chicago,Chicago,Chicago,Miami Beach,Philadelphia,Chicago,New Orleans,Philadelphia,Miami Beach,Houston,Brooklyn,Chicago,Atlanta,False
"in what category is 2912 lapalma
",asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,small Solar System body,asteroid,asteroid belt,small Solar System body,asteroid,asteroid belt,small Solar System body,asteroid,asteroid belt,small Solar System body,asteroid,asteroid belt,small Solar System body,asteroid,asteroid belt,asteroid,asteroid belt,asteroid belt,small Solar System object,asteroid belt,small Solar System object,asteroid belt,small Solar System object,small Solar System object,asteroid belt,small Solar System object,asteroid belt,asteroid belt,star,star,asteroid belt,False
"What is the name of a film that david arnold contributed music toward
",The World Is Not Enough,The Great Gatsby,The Dark Side of the Moon,The Great Gatsby,The Man in the High Castle,The Dark Side of the Moon,The Man in the High Castle,The Dark Side of the Sun,The Greatest Hits,The Night of the Living Dead,The Dark Side of the Moon,The Dark Side of the Sun,The Man in the High Castle,The Greatest Hits,Into the Woods,I'll Be There,I'm a Man,Into the Woods,The Dark Side of the Sun,Into the Wilderness,I'll Be There,A Little Night Music,The Man in the High Castle,Into the Woods,Insomnia,Grasshopper,A Little Night Music,The Greatest Hits,The Secret Life of Harry Potter,A Little Night Music,Insanity,The Man Who Knew,The Dark Side,A Little Night Music,Swordsman,Into the Wild,The Man Who Could,A Little Night Music,Swords of War,Swordsman,The Dark Side,In Search of the Perfect Man,Swordsmanship,The Night of the Hunter,In Search of Love,In the Dark,The Man Who Could,Insomniac,The Dark Side,In Search of the Perfect Woman,Sing!,False
"who are valentinian ii's parents
",Justina,Valentinian I of Italy,Valentininian I of Italy,Valentinian I of Italy,Valentininian I of Italy,Virgil of Aquitaine,Valentinian I of Italy,Valentininian I of Italy,Valentino I of Italy,Antoninus Severus,Valentinian I of Italy,Valentininian iii,Valentino I of Italy,Virgil,Valentininian I of Italy,Valentininian ii,Medici,Alessandro V.,Antoninus Pius IX,Roman Emperor Valentinian I,Valentininian I's parents,Valentininian ii of Italy,Virgil,Medici family,Medici,Valentininian I of Italy,Antonius Severus,Valentino I of Sicily,Valentin I of Italy,Valentinian I of Italy,Alessandro V.,Virgil of Austria,Valentininian I's family,Valentininian I of Italy,Medici family,Medici,Virgil,Antoninus Pius,Valentininian I's parents,Ivan I of Italy,Valentininian I's family,Valentininian I of Italy,Valentininian I,Alessandro V.,Virgil of Austria,Valentininian I,Ivan I of Russia,Medici,Valentininian I,Roman Emperors,Ivan I.,False
"what kind of film is bowl of oatmeal
",drama film,drama film,drama film,drama film,documentary film,drama film,documentary film,drama film,documentary film,drama film,documentary film,drama film,documentary film,drama film,documentary film,drama film,silent film,drama film,documentary film,drama film,silent film,documentary film,drama film,silent film,drama film,documentary film,drama film,silent film,drama film,documentary film,drama film,silent film,documentary film,drama film,silent film,drama film,documentary film,drama film,silent film,drama film,documentary film,drama film,silent film,documentary film,drama film,silent film,documentary film,drama film,silent film film,silent film film,silent film film,False
"what is ian johnson's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,males,female,male,female,males,male,female,males,female,False
"who was a person that was born in suffolk
",John Lydgate,John O'Brien,John Hodgson,John Hodgson,John Hewitt,John Hooper,John Clegg,John Smyth,John Osborne,John McLean,John Aylward,John Hendry,John McKinley,John Clegg,John Hooper,John McLean,John Hendry,John Hicks,John Sutton,John Frye,John O'Brian,John McAdams,John Smythe,John Hickman,John Sutton,John Axtell,John Aylmer,John Smyth,George W. Bush,John Sutton,William Axtell,John Fry,Richard Hodge,John Smith,John Bates,George W. Smith,George W. Bush,John McAdam,John F. Smith,Peter Cox,George W. Smith,George Whitehead,John Smith,William H. Smith,Robert Greene,William Axt,John F. Smith,John Smythe,Robert Browning,John Smith,William H. Brown,False
"What was the genre of the film mrs. fitzherbert
",drama film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romantic comedy,romance film,romantic comedy,drama film,romance film,romantic comedy,drama film,romantic comedy,romance film,romantic comedy,drama film,romance film,romantic comedy,drama film,romantic comedy,romance film,romantic comedy,drama film,romance film,romantic comedy,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,False
"What is d. w. griffith's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"What is charles trudeau's nationality
",Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,United Kingdom,Canada,United Kingdom,Canada,United Kingdom,Canada,Canada,United Kingdom,Canada,United Kingdom,Canada,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"who is the author of bloodlines
",Karen Traviss,Stephenie Meyer,Michael Connelly,Stephenie Meyer,Michael Connelly,Michael Crichton,Stephenie Meyer,Michael Connelly,John Green,Michael Crichton,Michael Connelly,John Green,Michael Crichton,David Mamet,Michael Connelly,John Green,Robert E. Howard,David Mamet,Susan Sontag,John Green,Michael Connelly,Stephen King,John Steinbeck,David Mamet,John Green,Stephen King,David Mamet,John Green,John Steinbeck,Stephen King,David Lean,John Green,David Mamet,Stephen King,Robert E. Lee,John Green,James Patterson,David Mamet,John Green,James Patterson,John Green,James Patterson,John Green,Stephen King Jr.,John Greene,Stephen King Jr.,John Greene,Richard Peck,Stephen King Jr.,John Greene,John Greene,False
"in what country is north triangle pond located
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,Republic of Ireland,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,Canada,United States of America,Canada,United Kingdom,Canada,United States of America,United Kingdom,Canada,United States of America,United Kingdom,Canada,United States Of America,False
"which movie is produced by k. s. rama rao
",Bujjigadu,Aashiqui 2,Aashiqui 2,Aashiqui 2,Aashiq,Aashiqui 2,Aashiq,Angry Birds,Aashiqui 2,Aashiq,Aashiq,Aashiqui 2,Angry Birds,Aashiq,Aashiqui 2,Angry Birds,Yash Raja,Aashiq,Ram Charan,Aashiqui 2,Ramayana,Yash Raja,Yash Raj,Aashiq,Ram Charan,Ramayana,Aashiqui 2,Yash Raja,Yash Raj,Aashiq,Aashiqui 2,Aashiq,Yash Raj,Aashiqui 2,Aashiq,Yash Raj,Aashiqui 2,Singai,Aashiq,Yash Raj,Raazi,Aashiqui 2,Aashiq,Yash Raj,Aashiqai,Aashiqui 2,Aashiq,Raaj,Ranji,Aashiq,Aashiqai,False
"who directed the movie planet ocean
",Yann Arthus-Bertrand,John Huston,James Wan,John Huston,James Wan,John Huston,David Lean,James Wan,John Carpenter,George Lucas,John Huston,David Lean,James Wan,John Carpenter,David Lean,John Carpenter,John Huston,John Carpenter,David Lean,John Carpenter,Michael Mann,John Carpenter,Michael Mann,John Carpenter,Michael Mann,John Carpenter,James Cameron,Michael Mann,John Carpenter,James Cameron,Peter Jackson,Michael Mann,Michael Bay,James Cameron,David Lynch,Michael Mann,Michael Bay,John Carpenter,James Cameron,Michael Mann,James Cameron,Michael Bay,John Carpenter,Michael Bayer,Michael Bayer,Michael Bayer,Michael Manning,Michael Manning,David Leitch,David Leitch,Michael Manning,False
"which musical instrument is played by quoc-bao
",guitar,guitar,guitar,guitar,guitar,guitar,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitar,piano,guitars,piano keyboard,guitars,piano keyboard,guitars,piano keyboard,guitars,piano keyboard,guitars,piano keyboard,guitars,piano keyboard,guitars,piano keyboard,guitars,False
"what is lin houston's gender?
",male,female,female,female,female,female,female,female,female,female,female,female,female,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,female,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"Who directed without anesthesia?
",Andrzej Wajda,John Huston,John Ford,John Huston,David Lean,John Ford,John Ford,David Lean,John Ford,John Huston,John Ford,George Lucas,John Carpenter,John Ford,George Lucas,John Carpenter,John Ford,John Ford,John Carpenter,John Ford,Michael Mann,John Ford,Michael Mann,David Lynch,John Carpenter,John Ford,John Ford,Michael Mann,David Lynch,John Ford,Michael Mann,John Carpenter,David Lynch,John Ford,Michael Mann,Richard Burton,Peter Jackson,John Forder,John Forder,John Fordham,John Forder,John Forde,John Fordham,John Forde,John Forder,John Fordham,John Forde,John Forder,John Fordham,John Forder,John Forde,False
"What caused the death of ronald davis?
",pancreatic cancer,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,pancreatic cancer,myocardial infarction,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,cancer,cancer,tuberculosis,myocardial infarction,cancer,cancer,tuberculosis,myocardial infarction,cancer,pulmonary embolism,myocardial infarction,cancer,cancer,myocardial infarction,pulmonary embolism,cancer,cancer,myocardial infarction,pulmonary embolism,cancer,myeloma,cancer,myocardial infarction,cancer,pancreatitis,pulmonary embolism,myeloma,cancer,myocardial infarction,cancer,myeloma,cancer,stroke,myocardial infarction,myeloma,cancer,stroke,False
"which country is p. balachandran from
",India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,South Korea,Sri Lanka,South Korea,Sri Lanka,South Korea,South Africa,South India,United Kingdom,South Africa,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Srilanka,United Kingdom,False
"Where is dave gerard from
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Australia,United Kingdom,United States of America,Australia,Australia,United Kingdom,United States of America,Australia,United Kingdom,Australia,United States of America,Canada,United Kingdom,Australia,Canada,United States of America,Australia,United Kingdom,Canada,Australia,Canada,United Kingdom,United States of America,Australia,Canada,False
"where did battle of faesulae take place
",Fiesole,Athens,Athens,Athens,Athens,Rome,Rome,Aquitaine,Athens,Rome,Aquitaine,Athens,Rome,Rome,Aquitaine,Athens,Rome,Aquitaine,Athens,Rome,Rome,Aquitaine,Athens,Rome,Aegina,Aquitaine,Athens,Rome,Rome,Aegina,Aquitaine,Rome,Aegina,Aquitaine,Rome,Rome,Aegina,Aquitaine,Rome,Aegina,Aquitaine,Rome,Rome,Aegina,Aquitaine,Rome,Aegina,Rome,Argus,Rome,Aegina,False
"which country released eldorado
",France,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,Spain,Japan,Mexico,United Kingdom,Spain,United States of America,Japan,Mexico,Spain,United Kingdom,Japan,Mexico,Spain,United States of America,United Kingdom,Japan,Mexico,Spain,Japan,Mexico,False
"what are books written by rex stout
",Trio for Blunt Instruments,Slaughterhouse Five,The Dark Side of the Moon,The Greatest Hits,The Dark Side of the Sun,The Dark Side of the Moon,The Greatest Hits,The Black Dahlia,Mythbusters,Slaughterhouse 5,The Dark Side of the Moon,The Dark Side of the Sun,Mythbusters,Into the Deep Blue Sea,The Black Hole,The Greatest Hits,The Secret Life of Harry Potter,Mythbuster,The Secret of the Black Pearl,The Dark Side of the Sun,The Dark Side of the Moon,Into the Darkness,I'll Be There,The Black Hole,The Black Dahlia,Mythbuster,The Greatest Showman,The Secret of the Black Pearl,The Secret Life of Harry Potter,The Dark Side of the Sun,A Little Night Music,The Secret of the Black Pearl,The Black Hole,Swordsman,The Black Dahlias,The Dark Side,The Darkest Hour,Swordsman,The Great Escape,Mysteries,Swords and Magic,Into the Deep,The Greatest Adventure,Swordsmanship,The Dark Side,The Secret of the Black Pearl,Mysteries,The Great Escape,The Black Dahlias,The Secret of the Sword,In the Dark,False
"What is the second level division of douglas county?
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,District of Columbia,United States of America,District of Columbia,United States of America,District of Columbia,United States of America,District of Columbia,United States of America,Douglas County,United States of America,Douglas County,United States of America,Douglas County,United States of America,Douglas County,Washington County,United States of America,Douglas County,Washington County,United States of America,Southern District of Texas,Douglas County,Washington County,United States of America,Douglas County,United States of America,Washington County,United States of America,United States District Court,United States District Court,United States District Court,District of Columbia County,District of Columbia County,United States District Court,District of Columbia County,United States District Court,District of Columbia County,False
"what is james mitchell (manager)'s gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,males,female,males,male,female,False
"what was the cause of death of pierre delanoë
",myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,myocardial infarction,pancreatic cancer,tuberculosis,myocardial infarction,pancreatic cancer,tuberculosis,myocardial infarction,tuberculosis,myocardial infarction,cancer,cancer,tuberculosis,myocardial infarction,lung cancer,cancer,pulmonary embolism,cancer,tuberculosis,lung cancer,myocardial infarction,cancer,pulmonary embolism,lung cancer,cancer,myocardial infarction,cancer,myocardial infarction,cancer,pulmonary embolism,cancer,cancer,myocardial infarction,pulmonary embolism,cancer,myeloma,myocardial infarction,cancer,myeloma,cancer,myocardial infarction,cancer,myeloma,cancer,myeloma,False
"Who was douglas engelbart influenced by?
",Alfred Korzybski,Douglas Engelbart,Douglas Engelbart,Douglas Engelbart,Douglas Engelbart,Douglas Engelbart,Richard Dawkins,Charles Dickens,Richard Dawkins,Charles Dickens,George Orwell,John Steinbeck,George Orwell,John Steinbeck,George Orwell,John Steinbeck,George Orwell,John Donne,John Steinbeck,George Bernard Shaw,George Orwell,John Donne,John Steinbeck,David Foster Wallace,John Stuart Mill,John Donne,John Steinbeck,David Foster Wallace,John Steinbeck,Harry Potter,David Bowie,James Joyce,David Foster Wallace,John Steinbeck,David Weber,Harry Potter,James Joyce,David Foster Wallace,John Steinbeck,William Shakespeare,Charles Darwin,John Steinbeck,William Shakespeare,Charles Darwin,William Shakespeare,Charles Darwin,William Shakespeare,Richard Dawkin,Richard Dawkin,William James,William James Byron,False
"Who was hancock county named after
",John Hancock,Hancock County,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,Henry Hancock,John Hancock,Hancock County,John Hancock,Henry Hancock,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,John Hancock,Hancock County,John Hancock,Henry H. Carter,Hancock County,John Hancock,Henry H. Carter,Hancock County,John Hancock,Henry H. Carter,Hancock County,John Hancock,Henry H. Carter,Hancock County,John Hancock,Henry H. Carter,Hancock County,Hancock County,Henry H. Carter,Henry H. Carter,James Hancock,Henry H. Carter,Hancock County Supervisor,Hancock County Supervisor,Hancock County Supervisor,False
"who was the author of the startide rising novel
",David Brin,Anne McCaffrey,J. M. Barrie,J. M. Barrie,Jane Austen,Michael Connelly,Jane Austen,Michael Connelly,Jane Austen,Jean-Paul Sartre,Michael Crichton,Michael Connelly,Michael Connelly,Susan Sontag,John Green,David Mamet,Michael Connelly,Ayn Rand,Susan Sontag,John Green,David Mamet,John Green,Susanne Bier,David Mamet,A. J. James,Susan Sontag,John Green,John Steinbeck,David Mamet,John Green,Susanne Bierce,Jane Austen's Daughter,Jane Austen’s Daughter,John Green,"Susan Sontag, Jr.",John Steinbeck,John Green,Anne Rice,Michael Connelly Jr.,James Patterson,John Green,Judith Butler,"Susan Sontag, Jr.",Susanne Robinson,John Green,"David Mamet, Jr.",Michael Connelly Jr.,Judith Butler,John Green,Susanna Browning,Susanne Bierfeld,False
"what types of movie is the shock
",drama film,drama film,drama film,drama film,drama film,drama film,drama film,horror film,drama film,romance film,drama film,horror film,drama film,romance film,horror film,drama film,romance film,drama film,horror film,drama film,romance film,drama film,horror film,drama film,romance film,horror film,drama film,thriller,silent film,drama film,romance film,drama film,horror film,drama film,silent film,romance novel,drama film,horror film,romance novel,drama film,silent film,romance novel,drama film,horror film,drama film,silent film,drama film,drama film,horror film,drama film,silent film,False
"Where did constance adams demille die
",Los Angeles,New York City,New York City,New York City,New York City,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,London,Paris,London,Los Angeles,Paris,London,Los Angeles,Paris,London,Paris,London,Paris,London,Paris,London,Paris,London,Paris,New Orleans,London,Paris,London,New Orleans,Paris,New Orleans,New Orleans,New Orleans,False
"where was katsuhito asano born
",Toyohashi,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Osaka,Tokyo,Tokyo,Osaka,Tokyo,Tokyo,Tokyo,Kobe,Nagano,Tokyo,Kobe,Tokyo,Nagano,Tokyo,Nagano,Tokyo,Tokyo,Nagano,Tokyo,Kyoto,Nagano,Tokyo,Kyoto,Tokyo,Kyoto,Toyo,Nagano,Tokyo,Kyoto,Nagano,Tokyo,Kyoto,Tokyo,Kyoto,Nagano,Toyama,Tokyo,Kyoto,Nagano,Tokyo,Kyoto,Kobe City,"Tokyo, Japan",Tokyo-ku,False
"who was isabel maxwell's dad
",Robert Maxwell,Maxwell Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,Charles Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,Charles Maxwell,John Maxwell,Maxwell Maxwell,Charles Maxwell,Maxwell Maxwell,Maxwell Maxwell,George Maxwell,William Maxwell,John Maxwell,Maxwell Maxwell,Charles Maxwell,Maxwell Maxwell,George Maxwell,Maxwell Maxwell,William Maxwell,Harry Maxwell,Maxwell Maxwell,John Maxwell,Maxwell Maxwell,Maxwell,Henry Maxwell,Charles Maxwell,Maxwell Maxwell,Maxwell,George Maxwell,Maxwell Maxwell,Maxwell,William Maxwell,Harry Maxwell,Maxwell,Maxwell Maxwell,John Maxwell,False
